Nombre,Icono,Precio
📹 Cámaras + Micrófonos adicionales,📹,20
🛰️ Internet Starlink (Garantía de conectividad),🛰️,50
🎨 Overlays Personalizados,🎨,10
📺 Plataforma Adicional (Solo Enterprise),📺,20
